Time,Var1,Var2,Var3,Var4,Var5,Var6,Var7,Var8,Var9,Var10
1006.5,16.6752313890899,9.43392629096826,5,10.7083333333333,8.73121528984425,30.2975725103528,20,0,33.8753364579817,0
1007,16.7428147588671,9.45777488087166,5,10.75,8.77053075540818,30.3514607354749,20,0,33.9621346474857,0
1007.5,16.8105666817353,9.48136259475433,5,10.7916666666666,8.80995573537592,30.4048395529915,20,0,34.047989571138,0
1008,16.8784853016065,9.5046905633561,5,10.8333333333333,8.84948923025421,30.4577099905381,20,0,34.1329053411156,0
1008.5,16.9465687703947,9.52775990647827,5,10.875,8.88913024472604,30.5100731515563,20,0,34.216886028082,0
1009,17.0148152479418,9.55057173355508,5,10.9166666666666,8.92887778760407,30.561930212919,20,0,34.2999356633218,0
1009.5,17.0832229019472,9.57312714420414,5,10.9583333333333,8.9687308717865,30.6132824226156,20,0,34.3820582407983,0
1010,17.1517899079015,9.59542722875714,5,11,9.00868851421544,30.6641310974956,20,0,34.4632577191349,0
1010.5,17.2205144490242,9.61747306877091,5,11.0416666666666,9.0487497358374,30.7144776210685,20,0,34.5435380235257,0
1011,17.2893947162039,9.63926573752031,5,11.0833333333333,9.08891356156611,30.7643234413591,20,0,34.6229030475753,0
1011.5,17.358428907943,9.66080630047303,5,11.125,9.1291790202474,30.8136700688165,20,0,34.7013566550731,0
1012,17.4276152303049,9.68209581574739,5,11.1666666666666,9.16954514462619,30.8625190742748,20,0,34.7789026817029,0
1012.5,17.4969518968648,9.70313533455343,5,11.2083333333333,9.21001097131532,30.910872086966,20,0,34.8555449366906,0
1013,17.5664371286633,9.72392590161839,5,11.25,9.25057554076647,30.9587307925817,20,0,34.9312872043923,0
1013.5,17.636069154163,9.74446855559655,5,11.2916666666666,9.29123789724273,31.0060969313831,20,0,35.0061332458262,0
1014,17.705846209208,9.76476432946444,5,11.3333333333333,9.33199708879304,31.0529722963583,20,0,35.0800868001476,0
1014.5,17.7757665369859,9.78481425090188,5,11.375,9.37285216722833,31.0993587314259,20,0,35.153151586072,0
1015,17.8458283879927,9.80461934265915,5,11.4166666666666,9.41380218809924,31.1452581296829,20,0,35.2253313032468,0
1015.5,17.9160300200002,9.82418062291096,5,11.4583333333333,9.45484621067543,31.190672431696,20,0,35.2966296335729,0
1016,17.9863696980254,9.84349910559769,5,11.5,9.49598329792647,31.2356036238357,20,0,35.3670502424795,0
1016.5,18.056845694303,9.86257580075432,5,11.5416666666666,9.53721251650414,31.2800537366519,20,0,35.4365967801517,0
1017,18.1274562882594,9.88141171482729,5,11.5833333333333,9.57853293672615,31.3240248432891,20,0,35.5052728827155,0
1017.5,18.1981997664895,9.90000785098006,5,11.625,9.61994363256122,31.3675190579418,20,0,35.5730821733782,0
1018,18.2690744227353,9.91836520938749,5,11.6666666666666,9.66144368161547,31.4105385343476,20,0,35.6400282635282,0
1018.5,18.3400785578663,9.93648478751942,5,11.7083333333333,9.7030321651201,31.4530854643177,20,0,35.706114753795,0
1019,18.4112104798627,9.95436758041404,5,11.75,9.74470816792024,31.4951620763037,20,0,35.7713452350699,0
1019.5,18.4824685037993,9.97201458094102,5,11.7916666666666,9.78647077846497,31.5367706340002,20,0,35.8357232894905,0
1020,18.553850951832,9.98942678005515,5,11.8333333333333,9.82831908879854,31.5779134349816,20,0,35.8992524913877,0
1020.5,18.6253561531861,10.0066051670405,5,11.875,9.87025219455257,31.6185928093727,20,0,35.9619364081986,0
1021,18.6969824441459,10.0235507297455,5,11.9166666666666,9.91226919493932,31.6588111185519,20,0,36.0237786013459,0
1021.5,18.7687281680458,10.0402644548094,5,11.9583333333333,9.95436919274608,31.698570753887,20,0,36.084782627084,0
1022,18.8405916752637,10.0567473278794,5,12,9.99655129433033,31.7378741355015,20,0,36.1449520373137,0
1022.5,18.9125713232149,10.0730003338215,5,12.0416666666666,10.038814609616,31.776723711072,20,0,36.204290380366,0
1023,18.9846654763483,10.0890244569208,5,12.0833333333333,10.0811582520905,31.8151219546546,20,0,36.2628012017575,0
1023.5,19.0568725061438,10.1048206810761,5,12.125,10.1235813388028,31.8530713655405,20,0,36.320488044915,0
1024,19.1291907911102,10.1203899899859,5,12.1666666666666,10.166082990362,31.8905744671405,20,0,36.377354451874,0
1024.5,19.2016187167857,10.1357333673277,5,12.2083333333333,10.2086623309368,31.9276338058957,20,0,36.4334039639492,0
1025,19.2741546757387,10.1508517969301,5,12.25,10.2513184882565,31.9642519502159,20,0,36.4886401223799,0
1025.5,19.3467970675702,10.1657462629378,5,12.2916666666666,10.2940505936112,32.0004314894445,20,0,36.5430664689485,0
1026,19.4195442989168,10.1804177499699,5,12.3333333333333,10.3368577818541,32.0361750328478,20,0,36.5966865465759,0
1026.5,19.4923947834557,10.1948672432729,5,12.375,10.3797391914036,32.0714852086302,20,0,36.6495038998917,0
1027,19.5653469419101,10.2090957288658,5,12.4166666666666,10.4226939642469,32.1063646629734,20,0,36.7015220757826,0
1027.5,19.6383992020553,10.2231041936799,5,12.4583333333333,10.465721245943,32.140816059099,20,0,36.7527446239167,0
1028,19.7115499987268,10.2368936256932,5,12.5,10.5088201856277,32.1748420763547,20,0,36.8031750972476,0
1028.5,19.7847977738282,10.2504650140582,5,12.5416666666666,10.5519899360181,32.208445409323,20,0,36.8528170524955,0
1029,19.8581409763407,10.2638193492244,5,12.5833333333333,10.5952296534178,32.2416287669514,20,0,36.9016740506094,0
1029.5,19.9315780623332,10.2769576230558,5,12.625,10.6385384977234,32.274394871705,20,0,36.9497496572079,0
1030,20.005107494973,10.2898808289425,5,12.6666666666666,10.6819156324307,32.306746458739,20,0,36.997047443001,0
1030.5,20.078727744538,10.3025899619076,5,12.7083333333333,10.7253602246414,32.3386862750927,20,0,37.0435709841931,0
1031,20.1524372884283,10.3150860187087,5,12.75,10.7688714450706,32.3702170789027,20,0,37.0893238628672,0
1031.5,20.22623461118,10.3273699979353,5,12.7916666666666,10.812448468055,32.4013416386363,20,0,37.1343096673512,0
1032,20.3001182044786,10.3394429001005,5,12.8333333333333,10.8560904715603,32.432062732343,20,0,37.178531992567,0
1032.5,20.3740865671734,10.351305727729,5,12.875,10.8997966371909,32.4623831469259,20,0,37.2219944403619,0
1033,20.4481382052926,10.3629594854397,5,12.9166666666666,10.9435661501977,32.4923056774297,20,0,37.2647006198244,0
1033.5,20.5222716320586,10.3744051800247,5,12.9583333333333,10.9873981994885,32.5218331263478,20,0,37.3066541475828,0
1034,20.5964853679043,10.3856438205238,5,13,11.031291977637,32.5509683029459,20,0,37.3478586480889,0
1034.5,20.6707779404895,10.3966764182946,5,13.0416666666666,11.0752466808933,32.5797140226027,20,0,37.3883177538857,0
1035,20.7451478847181,10.4075039870789,5,13.0833333333333,11.1192615091937,32.6080731061672,20,0,37.4280351058607,0
1035.5,20.8195937427553,10.4181275430647,5,13.1249999999999,11.1633356661718,32.6360483793319,20,0,37.467014353484,0
1036,20.8941140640458,10.4285481049448,5,13.1666666666666,11.2074683591691,32.663642672022,20,0,37.5052591550328,0
1036.5,20.968707405332,10.4387666939718,5,13.2083333333333,11.2516587992461,32.6908588177998,20,0,37.5427731778014,0
1037,21.0433723306726,10.4487843340083,5,13.2499999999999,11.2959062011939,32.7176996532842,20,0,37.5795600982985,0
1037.5,21.1181074114614,10.4586020515749,5,13.2916666666666,11.3402097835456,32.7441680175846,20,0,37.6156236024299,0
1038,21.1929112264471,10.4682208758938,5,13.3333333333333,11.3845687685883,32.7702667517495,20,0,37.6509673856696,0
1038.5,21.2677823617525,10.4776418389293,5,13.3749999999999,11.4289823823748,32.7959986982293,20,0,37.6855951532176,0
1039,21.3427194108944,10.486865975425,5,13.4166666666666,11.4734498547362,32.8213667003516,20,0,37.7195106201455,0
1039.5,21.417720974804,10.4958943229374,5,13.4583333333333,11.5179704192937,32.8463736018118,20,0,37.7527175115299,0
1040,21.4927856618467,10.5047279218668,5,13.4999999999999,11.5625433134717,32.8710222461743,20,0,37.7852195625746,0
1040.5,21.567912087843,10.5133678154844,5,13.5416666666666,11.6071677785103,32.8953154763895,20,0,37.8170205187203,0
1041,21.6430988760893,10.5218150499573,5,13.5833333333333,11.6518430594776,32.91925613432,20,0,37.8481241357439,0
1041.5,21.7183446573782,10.5300706743692,5,13.6249999999999,11.6965684052834,32.9428470602817,20,0,37.8785341798461,0
1042,21.7936480700202,10.5381357407396,5,13.6666666666666,11.7413430686915,32.9660910925951,20,0,37.9082544277291,0
1042.5,21.8690077598641,10.546011304039,5,13.7083333333333,11.7861663063333,32.9889910671492,20,0,37.9372886666627,0
1043,21.9444223803186,10.5536984222017,5,13.7499999999999,11.8310373787207,33.0115498169765,20,0,37.9656406945404,0
1043.5,22.0198905923734,10.5611981561363,5,13.7916666666666,11.8759555502596,33.0337701718389,20,0,37.9933143199263,0
1044,22.0954110646207,10.5685115697325,5,13.8333333333333,11.9209200892629,33.0556549578247,20,0,38.0203133620908,0
